lens,assumption_level,scope,direct_target_rows,parsed_numeric_rows,reliability_filtered_numeric_rows,interval_low,interval_high,interval,midpoint_display,narrowing_kind,status,assumption_note
beneficial_pluralistic_transition,A0_evidence_only,global,40,0,0,0.0,1.0,"[0.000, 1.000]",,none,full_width_evidence_only,No direct numeric target summaries used.
beneficial_pluralistic_transition,A1_weak_direct_numeric_hull,global,40,1,0,0.02,0.43,"[0.020, 0.430]",0.225,data_driven,weak_direct_numeric_hull,Uses convex hull of parsed weak direct-target numeric summaries only.
beneficial_pluralistic_transition,A2_reliability_filtered_numeric_hull,global,40,1,0,0.0,1.0,"[0.000, 1.000]",,none,no_reliability_qualified_numeric_rows,Restricts A1 to sources with resolved/calibrated or partly resolved reliability signals.
beneficial_pluralistic_transition,A3_monotone_regime_ordering,global,40,1,0,0.0,1.0,"[0.000, 1.000]",,assumption_driven_non_numeric,ordering_claims_only,Adds monotone regime/order claims without converting proxy channels into posterior numbers.
mixed_reversible_world,A0_evidence_only,global,627,0,0,0.0,1.0,"[0.000, 1.000]",,none,full_width_evidence_only,No direct numeric target summaries used.
mixed_reversible_world,A1_weak_direct_numeric_hull,global,627,34,0,0.002,0.8,"[0.002, 0.800]",0.128,data_driven,weak_direct_numeric_hull,Uses convex hull of parsed weak direct-target numeric summaries only.
mixed_reversible_world,A2_reliability_filtered_numeric_hull,global,627,34,0,0.0,1.0,"[0.000, 1.000]",,none,no_reliability_qualified_numeric_rows,Restricts A1 to sources with resolved/calibrated or partly resolved reliability signals.
mixed_reversible_world,A3_monotone_regime_ordering,global,627,34,0,0.0,1.0,"[0.000, 1.000]",,assumption_driven_non_numeric,ordering_claims_only,Adds monotone regime/order claims without converting proxy channels into posterior numbers.
authoritarian_lock_in,A0_evidence_only,global,10,0,0,0.0,1.0,"[0.000, 1.000]",,none,full_width_evidence_only,No direct numeric target summaries used.
authoritarian_lock_in,A1_weak_direct_numeric_hull,global,10,1,0,0.1,0.2,"[0.100, 0.200]",0.150,data_driven,weak_direct_numeric_hull,Uses convex hull of parsed weak direct-target numeric summaries only.
authoritarian_lock_in,A2_reliability_filtered_numeric_hull,global,10,1,0,0.0,1.0,"[0.000, 1.000]",,none,no_reliability_qualified_numeric_rows,Restricts A1 to sources with resolved/calibrated or partly resolved reliability signals.
authoritarian_lock_in,A3_monotone_regime_ordering,global,10,1,0,0.0,1.0,"[0.000, 1.000]",,assumption_driven_non_numeric,ordering_claims_only,Adds monotone regime/order claims without converting proxy channels into posterior numbers.
catastrophic_disempowerment,A0_evidence_only,global,8,0,0,0.0,1.0,"[0.000, 1.000]",,none,full_width_evidence_only,No direct numeric target summaries used.
catastrophic_disempowerment,A1_weak_direct_numeric_hull,global,8,1,0,0.01,0.4,"[0.010, 0.400]",0.205,data_driven,weak_direct_numeric_hull,Uses convex hull of parsed weak direct-target numeric summaries only.
catastrophic_disempowerment,A2_reliability_filtered_numeric_hull,global,8,1,0,0.0,1.0,"[0.000, 1.000]",,none,no_reliability_qualified_numeric_rows,Restricts A1 to sources with resolved/calibrated or partly resolved reliability signals.
catastrophic_disempowerment,A3_monotone_regime_ordering,global,8,1,0,0.0,1.0,"[0.000, 1.000]",,assumption_driven_non_numeric,ordering_claims_only,Adds monotone regime/order claims without converting proxy channels into posterior numbers.
extinction,A0_evidence_only,global,12,0,0,0.0,1.0,"[0.000, 1.000]",,none,full_width_evidence_only,No direct numeric target summaries used.
extinction,A1_weak_direct_numeric_hull,global,12,1,0,0.02,0.5,"[0.020, 0.500]",0.050,data_driven,weak_direct_numeric_hull,Uses convex hull of parsed weak direct-target numeric summaries only.
extinction,A2_reliability_filtered_numeric_hull,global,12,1,0,0.0,1.0,"[0.000, 1.000]",,none,no_reliability_qualified_numeric_rows,Restricts A1 to sources with resolved/calibrated or partly resolved reliability signals.
extinction,A3_monotone_regime_ordering,global,12,1,0,0.0,1.0,"[0.000, 1.000]",,assumption_driven_non_numeric,ordering_claims_only,Adds monotone regime/order claims without converting proxy channels into posterior numbers.
p_doom,A0_evidence_only,global_horizon_query_family,20,0,0,0.0,1.0,"[0.000, 1.000]",,frechet_safe_union_bound,frechet_safe_union_from_components,Fréchet-safe union bound from catastrophic_disempowerment and extinction component intervals.
p_doom,A1_weak_direct_numeric_hull,global_horizon_query_family,20,0,0,0.0,0.9,"[0.000, 0.900]",,frechet_safe_union_bound,frechet_safe_union_from_components,Fréchet-safe union bound from catastrophic_disempowerment and extinction component intervals.
p_doom,A2_reliability_filtered_numeric_hull,global_horizon_query_family,20,0,0,0.0,1.0,"[0.000, 1.000]",,frechet_safe_union_bound,frechet_safe_union_from_components,Fréchet-safe union bound from catastrophic_disempowerment and extinction component intervals.
p_doom,A3_monotone_regime_ordering,global_horizon_query_family,20,0,0,0.0,1.0,"[0.000, 1.000]",,frechet_safe_union_bound,frechet_safe_union_from_components,Fréchet-safe union bound from catastrophic_disempowerment and extinction component intervals.
